Rank	Release	Lifetime_Gross	Max_Theaters	Opening_Gross	Open_Theaters	Release_Date	Distributor
1	Teenage Mutant Ninja Turtles	$191,204,754	3,980	$65,575,105	3,845	Aug 8, 2014	Paramount Pictures
2	The SpongeBob Movie: Sponge Out of Water	$162,994,032	3,680	$55,365,012	3,641	Feb 6, 2015	Paramount Pictures
3	The Last Airbender	$131,772,187	3,203	$40,325,019	3,169	Jul 1, 2010	Paramount Pictures
4	Rango	$123,477,607	3,923	$38,079,323	3,917	March 4, 2011	Paramount Pictures
5	Lemony Snicket's A Series of Unfortunate Events	$118,634,549	3,623	$30,061,756	3,620	December 17, 2004	Paramount Pictures
6	The Rugrats Movie	$100,494,675	2,832	$27,321,470	2,782	Nov 20, 1998	Paramount Pictures
7	The SpongeBob SquarePants Movie	$85,417,988	3,307	$32,018,216	3,212	November 19, 2004	Paramount Pictures
8	Charlotte's Web	$82,985,708	3,745	$11,457,353	3,566	December 15, 2006	Paramount Pictures
9	Teenage Mutant Ninja Turtles: Out of the Shadows	$82,051,601	4,071	$35,316,382	4,071	June 3, 2016	Paramount Pictures
10	Jimmy Neutron: Boy Genius	$80,936,232	3,151	$13,832,786	3,139	Dec 21, 2001	Paramount Pictures
11	Nacho Libre	$80,197,993	3,083	$28,309,599	3,070	June 16, 2006	Paramount Pictures
12	Rugrats in Paris: The Movie	$76,507,756	2,937	$22,718,184	2,934	Nov 17, 2000	Paramount Pictures
13	Hotel for Dogs	$73,034,460	3,271	$17,012,212	3,271	Jan 16, 2009	DreamWorks
14	Barnyard	$72,637,803	3,311	$15,820,864	3,311	August 4, 2006	Paramount Pictures
15	The Spiderwick Chronicles	$71,195,053	3,847	$19,004,058	3,847	Feb 14, 2008	Paramount Pictures
16	Dora and the Lost City of Gold	$60,477,943	3,735	$17,431,588	3,735	Aug 9, 2019	Paramount Pictures
17	Snow Day	$60,020,107	2,717	$14,331,819	2,664	February 11, 2000	Paramount Pictures
18	Yours, Mine & Ours	$53,412,862	3,210	$17,461,108	3,206	November 23, 2005	Paramount Pictures
19	The Wild Thornberrys Movie	$40,108,697	3,012	$6,013,847	3,012	Dec 20, 2002	Paramount Pictures
20	Rugrats Go Wild	$39,402,572	3,041	$11,556,869	3,041	June 13, 2003	Paramount Pictures
21	Clockstoppers	$36,989,956	2,563	$10,108,333	2,540	Mar 29, 2002	Paramount Pictures
22	Monster Trucks	$33,370,166	3,119	$10,950,705	3,119	Jan 13, 2017	Paramount Pictures
23	Harriet the Spy	$26,570,048	1,876	$6,601,651	1,826	July 12, 1996	Paramount Pictures
24	Good Burger	$23,712,993	1,893	$7,058,333	1,887	July 25, 1997	Paramount Pictures
25	Hey Arnold! The Movie	$13,728,902	2,534	$5,706,332	2,527	Jun 28, 2002	Paramount Pictures
26	Fun Size	$9,409,538	3,016	$4,101,017	3,014	Oct 26, 2012	Paramount Pictures
