Rank	Release	Lifetime_Gross	Max_Theaters	Opening_Gross	Open_Theaters	Release_Date	Distributor
1	Star Trek	$257,730,019	4,053	$75,204,289	3,849	May 8, 2009	Paramount Pictures
2	Star Trek Into Darkness	$228,778,661	3,907	$70,165,559	3,868	May 16, 2013	Paramount Pictures
3	Star Trek Beyond	$158,848,340	3,928	$59,253,211	3,928	Jul 22, 2016	Paramount Pictures
4	Star Trek IV: The Voyage Home	$109,713,132	1,956	$16,881,888	1,349	November 26, 1986	Paramount Pictures
5	Star Trek: First Contact	$92,027,888	2,812	$30,716,131	2,812	Nov 22, 1996	Paramount Pictures
6	Star Trek	$82,258,456	1,002	$11,926,421	857	December 7, 1979	Paramount Pictures
7	Star Trek II: The Wrath of Khan	$78,912,963	1,621	$14,347,221	1,621	Jun 4, 1982	Paramount Pictures
8	Star Trek III: The Search for Spock	$76,471,046	1,966	$16,673,295	1,966	Jun 1, 1984	Paramount Pictures
9	Star Trek: Generations	$75,671,125	2,681	$23,116,394	2,659	Nov 18, 1994	Paramount Pictures
10	Star Trek VI: The Undiscovered Country	$74,888,996	2,147	$18,162,837	1,804	Dec 6, 1991	Paramount Pictures
11	Star Trek: Insurrection	$70,187,658	2,677	$22,052,836	2,620	Dec 11, 1998	Paramount Pictures
12	Star Trek V: The Final Frontier	$52,210,049	2,202	$17,375,648	2,202	June 9, 1989	Paramount Pictures
13	Star Trek: Nemesis	$43,254,409	2,711	$18,513,305	2,711	Dec 13, 2002	Paramount Pictures
14	Star Trek2019 Re-release	$346,243	627	$220,007	627	Sep 15, 2019	Fathom Even
